COU,Country,Year,alcohol_consumptions,total_of_deaths,Region
AUS,Australia,2010,10.4,143473,Oceania
AUS,Australia,2011,10.2,146932,Oceania
AUS,Australia,2012,10,147098,Oceania
AUS,Australia,2013,9.9,147678,Oceania
AUS,Australia,2014,9.7,153580,Oceania
AUS,Australia,2015,9.8,159052,Oceania
AUS,Australia,2016,9.5,158504,Oceania
AUS,Australia,2017,9.5,161083,Oceania
AUT,Austria,2010,12.1,77199,Europe
AUT,Austria,2011,11.9,76479,Europe
AUT,Austria,2012,12.1,79436,Europe
AUT,Austria,2013,11.9,79526,Europe
AUT,Austria,2014,12.2,78252,Europe
AUT,Austria,2015,11.2,83073,Europe
AUT,Austria,2016,11.4,80669,Europe
AUT,Austria,2017,11.3,83270,Europe
AUT,Austria,2018,11.3,83975,Europe
AUT,Austria,2019,11.6,83386,Europe
AUT,Austria,2020,11.3,91599,Europe
AUT,Austria,2021,11.1,91962,Europe
BEL,Belgium,2010,10.3,105152,Europe
BEL,Belgium,2011,10.1,104292,Europe
BEL,Belgium,2012,10.1,109076,Europe
BEL,Belgium,2013,10.3,109334,Europe
BEL,Belgium,2014,10.6,104755,Europe
BEL,Belgium,2015,10.4,110541,Europe
BEL,Belgium,2016,9.4,108097,Europe
BEL,Belgium,2017,9.3,109666,Europe
BEL,Belgium,2018,9.2,110693,Europe
CAN,Canada,2010,8.4,240075,America
CAN,Canada,2011,8.2,242074,America
CAN,Canada,2012,8.3,246596,America
CAN,Canada,2013,8.2,252338,America
CAN,Canada,2014,8,258821,America
CAN,Canada,2015,8,264333,America
CAN,Canada,2016,8.1,267213,America
CAN,Canada,2017,8.2,276689,America
CAN,Canada,2018,8.2,283706,America
CAN,Canada,2019,8,284082,America
CZE,Czechia,2010,11.4,106844,Europe
CZE,Czechia,2011,11.5,106848,Europe
CZE,Czechia,2012,11.6,108189,Europe
CZE,Czechia,2013,11.5,109160,Europe
CZE,Czechia,2014,11.9,105665,Europe
CZE,Czechia,2015,11.5,111173,Europe
CZE,Czechia,2016,11.7,107750,Europe
CZE,Czechia,2017,11.6,111443,Europe
CZE,Czechia,2018,11.8,112920,Europe
CZE,Czechia,2019,11.9,112362,Europe
CZE,Czechia,2020,11.6,129289,Europe
CZE,Czechia,2021,11.6,139891,Europe
DNK,Denmark,2010,10.8,54027,Europe
DNK,Denmark,2011,11,52205,Europe
DNK,Denmark,2012,9.8,52011,Europe
DNK,Denmark,2013,10,52182,Europe
DNK,Denmark,2014,10.1,50993,Europe
DNK,Denmark,2015,9.9,52224,Europe
DNK,Denmark,2016,10,52490,Europe
DNK,Denmark,2017,9.7,52943,Europe
DNK,Denmark,2018,9.7,54860,Europe
DNK,Denmark,2019,9.5,53567,Europe
DNK,Denmark,2020,9.7,54399,Europe
FIN,Finland,2010,9.7,50910,Europe
FIN,Finland,2011,9.8,50568,Europe
FIN,Finland,2012,9.3,51737,Europe
FIN,Finland,2013,9.1,51478,Europe
FIN,Finland,2014,8.8,52409,Europe
FIN,Finland,2016,8.4,53964,Europe
FIN,Finland,2017,8.4,53670,Europe
FIN,Finland,2018,8.4,54523,Europe
FIN,Finland,2019,8.2,53962,Europe
FIN,Finland,2020,8.2,55498,Europe
FRA,France,2010,12.3,541576,Europe
FRA,France,2011,12.4,536628,Europe
FRA,France,2012,12.2,558452,Europe
FRA,France,2013,11.6,556031,Europe
FRA,France,2014,12,544618,Europe
FRA,France,2015,11.9,579891,Europe
FRA,France,2016,11.7,579488,Europe
FRA,France,2017,11.7,591316,Europe
DEU,Germany,2010,11.6,858768,Europe
DEU,Germany,2011,11.3,852328,Europe
DEU,Germany,2012,11.3,869582,Europe
DEU,Germany,2013,11.1,893825,Europe
DEU,Germany,2014,11.1,868356,Europe
DEU,Germany,2015,11.1,925200,Europe
DEU,Germany,2016,11,910899,Europe
DEU,Germany,2017,10.9,932263,Europe
DEU,Germany,2018,10.9,954874,Europe
DEU,Germany,2019,10.6,939520,Europe
GRC,Greece,2010,8.3,109084,Europe
